Account,Category,Parent,Type,FY 20-21 Actual,FY 20-21 Budget,FY 21-22 Actual,FY 21-22 Budget,FY 22-23 Actual,FY 22-23 Budget,FY 23-24 Actual,FY 23-24 Budget,FY 24-25 Actual,FY 24-25 Budget,FY 25-26 Actual,FY 25-26 Budget,FY 26-27 Actual,FY 26-27 Budget
6950,System Improvements,6900,Operating Expense,7833.89,150.00,689.65,150.00,931.94,150.00,924.86,1000.00,76.61,500.00,0.00,500.00,0.00,500.00
6970,Memberships & Fees,6900,Operating Expense,6087.35,4500.00,6715.55,5000.00,7235.37,5000.00,9219.24,7800.00,8919.33,10500.00,4837.99,8000.00,0.00,8000.00
6980,Training,6900,Operating Expense,0.00,700.00,197.40,500.00,0.00,0.00,0.00,500.00,,,,,,
6990,Utilities / Misc / Admin,6900,Operating Expense,1500.00,0.00,171.51,0.00,121.21,150.00,4742.99,10000.00,19079.02,20200.00,10832.34,20000.00,0.00,20000.00
7046,Common Property - Fuel,7000,Operating Expense,,,,,867.01,0.00,1255.74,3200.00,4296.41,1600.00,,,,
7054,Common Property Services / Contract Labor,7000,Operating Expense,,,21692.12,0.00,4000.00,0.00,,,,,,,,
7051,Wages - Common Property,7000,Operating Expense,16403.33,14684.00,63628.08,12400.00,3986.67,14000.00,8611.00,2000.00,,,,,,
7052,Payroll Taxes - Common Property,7000,Operating Expense,,,3883.54,1584.00,353.66,1260.00,893.16,153.00,,,,,,
7053,Payroll Expenses,7000,Operating Expense,,,719.40,1100.00,0.00,980.00,0.00,1200.00,,,,,,
6520,Work Days,7000,Operating Expense,,,,,543.15,500.00,487.97,1500.00,,,,,,
7010,Pest Control,7000,Operating Expense,0.00,100.00,,,612.50,1500.00,2791.21,1500.00,2300.00,3000.00,0.00,2700.00,0.00,2700.00
7030,Weed Control,7000,Operating Expense,72.91,1000.00,,,63.36,1500.00,569.20,1500.00,496.44,1500.00,513.32,1500.00,0.00,1500.00
7040,Forest Management,7000,Operating Expense,4242.24,7000.00,19346.00,7000.00,11568.09,2000.00,795.45,0.00,2000.00,500.00,0.00,500.00,0.00,500.00
7070,Signs,7000,Operating Expense,1042.89,300.00,601.00,0.00,36.96,500.00,1533.18,1500.00,754.63,900.00,0.00,900.00,0.00,900.00
7110,Fuels Lubricants & Filters,7100,Operating Expense,4933.11,4000.00,8840.27,4000.00,12766.78,10000.00,6715.03,10000.00,5737.38,4000.00,931.43,4000.00,0.00,4000.00
7120,Licenses and Permits,7100,Operating Expense,778.97,350.00,701.48,350.00,374.25,350.00,609.94,400.00,616.15,650.00,876.32,650.00,0.00,650.00
